1,China,"$216,279,350.96",6333 Players
2,United States,"$209,709,566.08",22249 Players
3,Korea,"$118,849,229.98",4776 Players
4,Russia,"$58,877,373.37",4520 Players
5,Denmark,"$47,306,249.70",1841 Players
6,Sweden,"$45,095,211.43",2892 Players
7,France,"$42,006,004.31",4927 Players
8,Brazil,"$39,582,170.61",3785 Players
9,Canada+D10:D58,"$37,648,240.61",3410 Players
10,Germany,"$36,305,334.92",5337 Players
11,United Kingdom,"$32,894,386.05",4125 Players
12,Finland,"$29,771,064.11",1827 Players
13,Ukraine,"$28,392,810.58",1260 Players
14,Australia,"$23,627,235.85",2874 Players
15,Japan,"$23,372,131.18",2339 Players
16,Poland,"$19,849,311.64",2302 Players
17,Thailand,"$18,381,931.69",1786 Players
18,"Taiwan, Republic of China","$17,397,646.60",1314 Players
19,Malaysia,"$15,862,087.58",1132 Players
20,Philippines,"$14,475,622.66",1187 Players
21,Netherlands,"$12,256,998.55",1727 Players
22,Viet Nam,"$10,672,948.04",1841 Players
23,Norway,"$10,599,078.55",1106 Players
24,Indonesia,"$10,346,206.64",1744 Players
25,Spain,"$9,892,273.05",2050 Players
26,Bulgaria,"$9,108,370.55",377 Players
27,Jordan,"$8,018,733.91",96 Players
28,Turkey,"$7,521,505.58",1136 Players
29,Saudi Arabia,"$6,583,102.79",470 Players
30,Argentina,"$6,291,624.56",952 Players
31,Estonia,"$5,589,601.90",289 Players
32,Singapore,"$5,584,784.50",851 Players
33,Mexico,"$5,369,681.32",777 Players
34,Pakistan,"$5,173,553.06",327 Players
35,Italy,"$4,997,355.10",1190 Players
36,Lebanon,"$4,831,463.64",89 Players
37,Austria,"$4,640,162.52",628 Players
38,Peru,"$4,514,613.15",464 Players
39,Romania,"$4,365,727.39",502 Players
40,Belgium,"$4,150,392.32",726 Players
41,Czech Republic,"$4,067,728.43",889 Players
42,Israel,"$4,047,667.49",236 Players
43,Kazakhstan,"$3,925,927.91",620 Players
44,India,"$3,750,824.64",1023 Players
45,Belarus,"$3,100,418.44",325 Players
46,Portugal,"$2,769,190.88",924 Players
47,Hong Kong,"$2,731,097.33",554 Players
48,Slovakia,"$2,523,772.14",306 Players
49,Switzerland,"$2,486,311.87",554 Players
50,Serbia,"$2,328,429.78",306 Players
51,Chile,"$2,073,442.22",579 Players
52,Slovenia,"$2,068,067.64",115 Players
53,Greece,"$2,056,840.65",468 Players
54,Lithuania,"$2,017,537.37",340 Players
55,New Zealand,"$1,993,515.97",320 Players
56,Latvia,"$1,739,791.13",279 Players
57,Macao,"$1,695,065.67",35 Players
58,Bosnia and Herzegovina,"$1,655,875.69",67 Players
59,Mongolia,"$1,616,892.47",186 Players
60,North Macedonia,"$1,598,348.57",68 Players
61,Croatia,"$1,562,848.25",228 Players
62,Hungary,"$1,469,620.40",582 Players
63,South Africa,"$1,371,634.69",607 Players
64,Iraq,"$1,056,824.06",97 Players
65,Ireland,"$1,015,461.56",246 Players
66,Colombia,"$721,117.53",233 Players
67,"Moldova, Republic of","$684,797.31",46 Players
68,Kyrgyzstan,"$683,733.48",59 Players
69,Nepal,"$635,352.87",106 Players
70,Morocco,"$607,561.65",112 Players
71,Dominican Republic,"$580,230.14",85 Players
72,Bolivia,"$569,665.23",24 Players
73,Armenia,"$535,425.11",33 Players
74,United Arab Emirates,"$517,028.28",168 Players
75,Uruguay,"$476,998.95",77 Players
76,Azerbaijan,"$420,263.08",98 Players
77,Puerto Rico,"$412,880.20",76 Players
78,Uzbekistan,"$394,922.12",50 Players
79,Algeria,"$366,565.37",73 Players
80,"Iran, Islamic Republic of","$361,405.94",138 Players
81,Egypt,"$358,018.84",131 Players
82,Syrian Arab Republic,"$350,677.22",49 Players
83,Tunisia,"$294,797.65",63 Players
84,Venezuela,"$267,414.65",140 Players
85,Kuwait,"$258,131.53",93 Players
86,Afghanistan,"$253,337.07",7 Players
87,Georgia,"$244,596.06",88 Players
88,Myanmar,"$235,493.44",118 Players
89,Montenegro,"$220,147.65",14 Players
90,Bahrain,"$217,939.06",18 Players
91,Iceland,"$213,454.55",127 Players
92,Cuba,"$202,297.95",19 Players
93,"Kosovo, Republic of","$195,655.03",33 Players
94,Ecuador,"$174,585.77",46 Players
95,Cambodia,"$169,336.14",171 Players
96,Malta,"$156,266.10",290 Players
97,Lao People's Democratic Republic,"$140,032.24",66 Players
98,Bangladesh,"$138,952.36",65 Players
99,Albania,"$131,933.35",53 Players
100,Gibraltar,"$127,329.51",1 Player
101,Costa Rica,"$99,743.20",56 Players
102,Luxembourg,"$77,569.87",33 Players
103,Guatemala,"$75,538.07",28 Players
104,"Palestinian Territory, Occupied","$69,670.99",16 Players
105,Honduras,"$69,391.74",14 Players
106,Nicaragua,"$63,775.00",8 Players
107,Brunei Darussalam,"$53,614.19",67 Players
108,Panama,"$52,395.25",47 Players
109,Oman,"$45,803.34",5 Players
110,Senegal,"$43,502.50",8 Players
111,Libyan Arab Jamahiriya,"$42,500.03",6 Players
112,Qatar,"$30,003.42",19 Players
113,Paraguay,"$26,498.91",31 Players
114,Sri Lanka,"$24,438.09",26 Players
115,Ethiopia,"$23,669.95",1 Player
116,Yemen,"$20,735.00",8 Players
117,Faroe Islands,"$9,525.61",25 Players
118,Greenland,"$9,425.00",3 Players
119,El Salvador,"$7,548.85",10 Players
120,Nigeria,"$6,666.68",5 Players
121,Mauritius,"$5,530.04",7 Players
122,Monaco,"$5,051.67",3 Players
123,"Tanzania, United Republic of","$4,500.00",1 Player
124,Åland Islands,"$3,547.38",18 Players
125,Jersey,"$3,513.33",2 Players
126,Tajikistan,"$3,475.00",1 Player
127,New Caledonia,"$3,437.97",4 Players
128,Jamaica,"$3,307.88",9 Players
129,Ghana,"$2,808.76",5 Players
130,Zimbabwe,"$2,183.33",2 Players
131,French Polynesia,"$1,745.63",2 Players
132,Zambia,"$1,635.44",2 Players
133,Kenya,"$1,632.62",2 Players
134,Cyprus,"$1,577.53",8 Players
135,Trinidad and Tobago,"$1,216.26",2 Players
136,Angola,"$1,200.00",3 Players
137,Andorra,$952.26,5 Players
138,Mauritania,$759.00,1 Player
139,Guyana,$700.00,1 Player
140,Guernsey,$689.90,1 Player
141,Wallis And Futuna,$600.00,1 Player
142,Isle of Man,$536.00,1 Player
143,Aruba,$513.34,4 Players
144,Madagascar,$458.00,1 Player
145,Côte D'Ivoire,$336.90,2 Players
146,Northern Mariana Islands,$300.00,1 Player
147,Bahamas,$263.00,1 Player
148,Belize,$250.00,1 Player
149,Turkmenistan,$220.40,1 Player
150,Bermuda,$200.00,1 Player
151,Maldives,$121.54,3 Players
152,Liechtenstein,$56.47,2 Players
153,Saint Martin,$50.00,1 Player
154,United States Minor Outlying Islands,$30.00,1 Player
155,Saint Kitts and Nevis,$20.00,1 Player
156,"Virgin Islands, U.S.",$12.00,1 Player
157,Saint Barthélemy,$7.63,1 Player
